age,Sr,eSr,d13C,ed13C,d34S,ed34S,fR,efR,fL,efL,fA,efA,fA_Godderis,efA_Godderis,fAw_fA,efAw_fA,fAw_fA_Godderis,efAw_fA_Godderis,fD,efD,fD_Godderis,efD_Godderis,RT,eRT,GEOG,eGEOG,GEOG_Godderis,eGEOG_Godderis,fSR,efSR,fC,efC,fHR,efHR,fHRall,efHRall
570,90,2.419794621,0,0.383574975,23,0.936205985,1.0128,0.081024,0.63,0.252,1,0.5,1,0.225,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.031993734,0.015996867,-0.4,5,-7.323,1.25,1,0.175,0.75,0.16875,0,0,0,0
569,90,2.419794621,0,0.383574975,23.01,0.936205985,1.01348,0.0810784,0.63,0.252,0.995,0.4975,1,0.225,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.031993734,0.015996867,-0.4,5,-7.323,1.25,1.004,0.1757,0.75,0.16875,0,0,0,0
568,90,2.419794621,0,0.383574975,23.02,0.936205985,1.01416,0.0811328,0.63,0.252,0.99,0.495,1,0.225,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.031993734,0.015996867,-0.4,5,-7.323,1.25,1.008,0.1764,0.75,0.16875,0,0,0,0
567,90,2.419794621,0,0.383574975,23.03,0.936205985,1.01484,0.0811872,0.63,0.252,0.985,0.4925,1,0.225,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.031993734,0.015996867,-0.4,5,-7.323,1.25,1.012,0.1771,0.75,0.16875,0,0,0,0
566,90,2.419794621,0,0.383574975,23.04,0.936205985,1.01552,0.0812416,0.63,0.252,0.98,0.49,1,0.225,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.031993734,0.015996867,-0.4,5,-7.323,1.25,1.016,0.1778,0.75,0.16875,0,0,0,0
565,90,2.419794621,0,0.383574975,23.05,0.936205985,1.0162,0.081296,0.63,0.252,0.975,0.4875,1,0.225,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.031993734,0.015996867,-0.4,5,-7.323,1.25,1.02,0.1785,0.75,0.16875,0,0,0,0
564,90,2.419794621,0,0.383574975,23.06,0.936205985,1.01688,0.0813504,0.63,0.252,0.97,0.485,1,0.225,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.031993734,0.015996867,-0.4,5,-7.323,1.25,1.024,0.1792,0.75,0.16875,0,0,0,0
563,90,2.419794621,0,0.383574975,23.07,0.936205985,1.01756,0.0814048,0.63,0.252,0.965,0.4825,1,0.225,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.031993734,0.015996867,-0.4,5,-7.323,1.25,1.028,0.1799,0.75,0.16875,0,0,0,0
562,90,2.419794621,0,0.383574975,23.08,0.936205985,1.01824,0.0814592,0.63,0.252,0.96,0.48,1,0.225,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.031993734,0.015996867,-0.4,5,-7.323,1.25,1.032,0.1806,0.75,0.16875,0,0,0,0
561,90,2.419794621,0,0.383574975,23.09,0.936205985,1.01892,0.0815136,0.63,0.252,0.955,0.4775,1,0.225,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.031993734,0.015996867,-0.4,5,-7.323,1.25,1.036,0.1813,0.75,0.16875,0,0,0,0
560,90,2.419794621,0,0.383574975,23.1,0.936205985,1.0196,0.081568,0.63,0.252,0.95,0.475,1,0.225,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.031993734,0.015996867,-0.4,5,-7.323,1.25,1.04,0.182,0.75,0.16875,0,0,0,0
559,90,2.419794621,0,0.383574975,23.32,0.936205985,1.02008,0.0816064,0.63,0.252,0.945,0.4725,1,0.225,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.032864677,0.0164323385,-0.4,5,-7.323,1.25,1.056,0.1848,0.75,0.16875,0,0,0,0
558,90,2.419794621,0,0.383574975,23.54,0.936205985,1.02056,0.0816448,0.63,0.252,0.94,0.47,1,0.225,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.03373562,0.01686781,-0.4,5,-7.323,1.25,1.072,0.1876,0.75,0.16875,0,0,0,0
